job_role,skills
Data Scientist,"Python, SQL, Machine Learning, Statistics, Data Analysis, Pandas, NumPy, Data Visualization"
DevOps Engineer,"AWS, Docker, Kubernetes, CI/CD, Automation, Linux, Git, Jenkins, Cloud"
Backend Developer,"Java, Python, SQL, APIs, REST, Spring Boot, Databases, Git, Microservices"
Frontend Developer,"JavaScript, React, HTML, CSS, TypeScript, Web Design, UI/UX, Git, Redux"
Cloud Architect,"AWS, Azure, Cloud, Networking, Security, Automation, Docker, Kubernetes, Terraform"
Machine Learning Engineer,"Python, Machine Learning, TensorFlow, PyTorch, Deep Learning, Data Structures, Algorithms, MLOps"
Data Engineer,"Python, SQL, ETL, Spark, Data Pipelines, Airflow, Cloud, Databases, Big Data"
Full Stack Developer,"JavaScript, React, Node.js, SQL, APIs, HTML, CSS, Git, MongoDB"
Cybersecurity Analyst,"Networking, Security, Linux, Python, Risk Assessment, Firewalls, Encryption, Incident Response"
Mobile App Developer,"Java, Kotlin, Swift, Android, iOS, APIs, Git, Mobile UI, Firebase"
Database Administrator,"SQL, Databases, Data Modeling, Backup Recovery, Performance Tuning, Oracle, MySQL, Security"
Site Reliability Engineer,"Linux, Automation, Kubernetes, Monitoring, CI/CD, Cloud, Scripting, Incident Response, Docker"
Business Intelligence Analyst,"SQL, Data Analysis, Data Visualization, Power BI, Tableau, Excel, Statistics, Reporting"
QA/Test Automation Engineer,"Automation, Python, Java, Selenium, Testing, CI/CD, Git, Bug Tracking, API Testing"
Systems Administrator,"Linux, Networking, Automation, Security, Scripting, Windows Server, Active Directory, Backup Recovery"
